Spielname,Genre,Minispiel,Optionalität,UI - Transformation,Belohnungen,Einfluss Minispiel - Belohnung auf Hauptspiel,Auftreten,Wiederholung,Retry,Komplexität,Veränderung der Schwierigkeit,Einsatz,Geforderte(r) Skill(s),Abbruchbarkeit,Unterbricht Hauptspielfluss,Räumliche Einschränkung,Timer,Cooldown
TLOZ Tears of the Kingdom,Action,Yiga Training,ja,leicht,"spielwährung,  Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,nein,geschicklichkeit,nein,ja,ja,ja,nein
TLOZ Tears of the Kingdom,Action,Treasure Chest Game,ja,keine,"spielwährung,  Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,glück,ja_bereich,nein,ja,nein,nein
TLOZ Tears of the Kingdom,Action,Ultra Baul Haul,ja,leicht,"spielwährung,  Verkäufliche/eintauschbare Items",ja,einmalig,ja,nein,gering,konstant,ja,strategie,nein,ja,ja,ja,nein
TLOZ The Wind Waker,Action,Schiffe versenken,ja,stark,"Verkäufliche/eintauschbare Items,  spielwährung",ja,einmalig,ja,nein,hoch,konstant,ja,strategie,nein,ja,ja,nein,nein
TLOZ The Wind Waker,Action,Schweinefangen,ja,keine,"Verkäufliche/eintauschbare Items,  spielwährung",ja,einmalig,nein,nein,gering,konstant,nein,"strategie, geschicklichkeit",nein,nein,ja,ja,nein
TLOZ The Wind Waker,Action,Vogelmann-Weiistreit,ja,keine,"Verkäufliche/eintauschbare Items,  spielwährung",ja,einmalig,ja,nein,mittel,konstant,nein,"timing, geschicklichkeit",nein,nein,ja,nein,nein
TLOZ The Wind Waker,Action,Schieberätsel,ja,stark,"Verkäufliche/eintauschbare Items,  spielwährung",ja,einmalig,ja,nein,mittel,konstant,nein,"logik, strategie",nein,ja,ja,nein,nein
TLOZ The Wind Waker,Action,Postsendungen sortieren,ja,mittel,"Verkäufliche/eintauschbare Items,  spielwährung",ja,einmalig,ja,nein,mittel,konstant,nein,"timing, geschicklichkeit",nein,ja,ja,ja,nein
TLOZ The Wind Waker,Action,Auktion,ja,mittel,"Verkäufliche/eintauschbare Items,  spielwährung",ja,einmalig,ja,nein,gering,konstant,ja,"strategie, geschicklichkeit",ja,ja,ja,nein,nein
TLOZ The Wind Waker,Action,Kanonenspiel,ja,mittel,"Verkäufliche/eintauschbare Items,  spielwährung",ja,einmalig,ja,nein,mittel,konstant,ja,"strategie, logik, geschicklichkeit",nein,ja,ja,nein,nein
TLOZ The Wind Waker,Action,Schwertraining,nein,keine,"Verkäufliche/eintauschbare Items,  spielwährung",ja,einmalig,ja,nein,gering,konstant,nein,geschicklichkeit,nein,nein,ja,nein,nein
Watch_Dogs,"Action, Open World",Hütchenspiel,ja,leicht,XP,nein,häufig,ja,ja,gering,minispiel_schwieriger,ja,aufmerksamkeit,nein,nein,nein,nein,ja
Watch_Dogs,"Action, Open World",Trinkspiel,einmalig,mittel,"storyfortschritt, Verkäufliche/eintauschbare Items",ja,selten,ja,ja,mittel,minispiel_schwieriger,ja,"präzision, timing",nein,nein,nein,nein,ja
Watch_Dogs,"Action, Open World",Schach,ja,mittel,XP,ja,häufig,ja,ja,mittel,minispiel_schwieriger,nein,strategie,nein,nein,nein,nein,nein
Watch_Dogs,"Action, Open World",Poker,einmalig,stark,"storyfortschritt, spielwährung",ja,selten,ja,ja,hoch,konstant,ja,"strategie, geschicklichkeit",nein,nein,nein,nein,ja
Watch_Dogs,"Action, Open World",Spielautomat,ja,leicht,spielwährung,ja,selten,ja,ja,gering,konstant,ja,glück,nein,nein,nein,nein,nein
Watch_Dogs,"Action, Open World",NVZN Shooter,ja,mittel,XP,ja,häufig,ja,ja,gering,minispiel_schwieriger,nein,"präzision, geschicklichkeit",ja_bereich,ja,nein,ja,ja
Watch_Dogs,"Action, Open World",Cash Run,ja,mittel,Verkäufliche/eintauschbare Items,ja,häufig,ja,ja,gering,konstant,nein,"präzision, geschicklichkeit",ja,ja,nein,ja,nein
Watch_Dogs,"Action, Open World",Madness,ja,mittel,XP,nein,häufig,ja,ja,gering,minispiel_leichter,nein,"präzision, geschicklichkeit",nein,ja,nein,ja,nein
Watch_Dogs,"Action, Open World",Spider-Tank,ja,mittel,XP,nein,häufig,ja,ja,mittel,minispiel_leichter,nein,"präzision, geschicklichkeit",nein,ja,nein,ja,nein
Watch_Dogs,"Action, Open World",Psychedelic,ja,leicht,keine,nein,häufig,ja,ja,gering,minispiel_leichter,nein,"präzision, geschicklichkeit",nein,ja,nein,nein,nein
Watch_Dogs,"Action, Open World",Alone,ja,leicht,XP,nein,häufig,nein,ja,mittel,minispiel_leichter,nein,"präzision, geschicklichkeit",nein,ja,nein,nein,nein
Watch_Dogs 2,"Action, Open World",Node Puzzle (3D),nein,mittel,"storyfortschritt, XP",ja,häufig,nein,ja,mittel,minispiel_schwieriger,nein,"logik, strategie",nein,nein,nein,nein,nein
