Spielname,Genre,Minispiel,Optionalität,UI - Transformation,Belohnungen,Einfluss Minispiel - Belohnung auf Hauptspiel,Auftreten,Wiederholung,Retry,Komplexität,Veränderung der Schwierigkeit,Einsatz,Geforderte(r) Skill(s),Abbruchbarkeit,Unterbricht Hauptspielfluss,Räumliche Einschränkung,Timer,Cooldown
Harry Potter und der Halbblut-Prinz,Action-Adventure,Jack Stone,ja,stark,"collectibles, Verkäufliche/eintauschbare Items",nein,selten,ja,ja,gering,konstant,nein,"geschicklichkeit, strategie",nein,ja,ja,nein,nein
Harry Potter und der Halbblut-Prinz,Action-Adventure,Snake Pit,ja,stark,"collectibles, Verkäufliche/eintauschbare Items",nein,selten,ja,ja,gering,konstant,nein,"geschicklichkeit, strategie",nein,ja,ja,nein,nein
Harry Potter und der Halbblut-Prinz,Action-Adventure,Potions,einmalig,stark,ressourcen,ja,häufig,ja,ja,gering,konstant,nein,"geschicklichkeit, timing",nein,ja,ja,ja,nein
Harry Potter und der Halbblut-Prinz,Action-Adventure,Zauberduelle,ja,leicht,"collectibles, ressourcen",nein,häufig,ja,ja,mittel,minispiel_schwieriger,nein,strategie,nein,ja,ja,nein,nein
Harry Potter und der Halbblut-Prinz,Action-Adventure,Exploding Snap,ja,stark,collectibles,nein,selten,ja,ja,gering,konstant,nein,timing,nein,ja,ja,ja,nein
Harry Potter und der Halbblut-Prinz,Action-Adventure,Patience Game,ja,stark,collectibles,nein,häufig,ja,ja,gering,konstant,nein,timing,nein,ja,ja,nein,nein
Harry Potter und der Halbblut-Prinz,Action-Adventure,Bavarian Rules Snap,ja,stark,collectibles,nein,häufig,ja,ja,gering,konstant,nein,timing,nein,ja,ja,ja,nein
Hogwarts Legacy,Open World RPG,Accio Duell,ja,leicht,XP,ja,häufig,nein,ja,mittel,minispiel_schwieriger,nein,"geschicklichkeit, timing, strategie",nein,ja,ja,nein,nein
Hogwarts Legacy,Open World RPG,Duelling Club,einmalig,leicht,"XP, storyfortschritt",ja,selten,nein,ja,gering,konstant,nein,geschicklichkeit,nein,ja,ja,nein,nein
Hogwarts Legacy,Open World RPG,Broom Trials,einmalig,leicht,"XP, Verkäufliche/eintauschbare Items, storyfortschritt",ja,selten,ja,ja,mittel,konstant,nein,geschicklichkeit,ja_bereich,ja,ja,nein,nein
Hogwarts Legacy,Open World RPG,Battle Arena,ja,leicht,XP,ja,selten,ja,ja,gering,konstant,nein,geschicklichkeit,nein,ja,ja,nein,nein
Hogwarts Legacy,Open World RPG,Alohomora / Lockpicking,nein,stark,"storyfortschritt, Verkäufliche/eintauschbare Items",ja,häufig,nein,ja,gering,konstant,nein,geschicklichkeit,ja,ja,nein,nein,nein
Hogwarts Legacy,Open World RPG,Ballons zerplatzen,ja,keine,"XP, Verkäufliche/eintauschbare Items",ja,häufig,nein,ja,gering,konstant,nein,geschicklichkeit,ja_bereich,ja,nein,nein,nein
Hogwarts Legacy,Open World RPG,Merlins Prüfungen,ja,keine,"XP, upgrades",nein,häufig,nein,ja,gering,konstant,nein,geschicklichkeit,ja_bereich,nein,nein,nein,nein
Mafia II,Action-Adventure,Lockpicking,einmalig,leicht,"Verkäufliche/eintauschbare Items",nein,frei,nein,ja,gering,minispiel_schwieriger,nein,timing,ja,nein,nein,nein,nein
Mafia III,Action-Adventure,Lockpulling,ja,leicht,Verkäufliche/eintauschbare Items,ja,häufig,nein,ja,gering,konstant,nein,"geschicklichkeit, timing",ja,nein,nein,nein,nein
Mario & Luigi Bowsers Inside Story,"Action, RPG",Bowser Muscles,nein,leicht,storyfortschritt,nein,selten,nein,ja,gering,minispiel_schwieriger,ja,timing,nein,ja,ja,nein,nein
Mario & Luigi Bowsers Inside Story,"Action, RPG",Carrot Eating,nein,stark,storyfortschritt,nein,einmalig,nein,ja,mittel,konstant,nein,aufmerksamkeit,nein,ja,ja,ja,nein
Mario & Luigi Bowsers Inside Story,"Action, RPG",Sneezing,nein,leicht,storyfortschritt,nein,selten,ja,ja,mittel,minispiel_schwieriger,nein,timing,nein,ja,ja,nein,nein
Mario & Luigi Bowsers Inside Story,"Action, RPG",Adrenaline,nein,stark,storyfortschritt,nein,selten,nein,ja,gering,konstant,nein,timing,nein,ja,ja,nein,nein
Mario & Luigi Bowsers Inside Story,"Action, RPG",Chest Station,nein,stark,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,timing,nein,ja,ja,nein,nein
Mario & Luigi Bowsers Inside Story,"Action, RPG",Statue Push,nein,leicht,storyfortschritt,nein,selten,nein,ja,mittel,konstant,nein,timing,nein,ja,ja,ja,nein
Mario & Luigi Superstar Saga,"Action, RPG",Fassspiel,einmalig,stark,storyfortschritt,ja,einmalig,ja,ja,hoch,konstant,nein,"strategie, logik",nein,ja,ja,ja,nein
Mario & Luigi Superstar Saga,"Action, RPG",Grenzsprung,einmalig,leicht,storyfortschritt,ja,einmalig,ja,ja,gering,minispiel_schwieriger,nein,"timing, geschicklichkeit",nein,ja,ja,nein,nein
Mario & Luigi Superstar Saga,"Action, RPG",Chukola Sprung,ja,leicht,storyfortschritt,ja,einmalig,ja,nein,gering,konstant,nein,"geschicklichkeit, timing",nein,ja,ja,ja,nein
Mario & Luigi Superstar Saga,"Action, RPG",Mysteriöse Minenwagen,einmalig,mittel,storyfortschritt,ja,einmalig,ja,ja,mittel,minispiel_schwieriger,nein,timing,nein,nein,ja,nein,ja
Mario & Luigi Superstar Saga,"Action, RPG",Splart,ja,keine,storyfortschritt,ja,einmalig,ja,nein,gering,konstant,nein,logik,ja,ja,ja,nein,nein
Mario & Luigi Superstar Saga,"Action, RPG",Surfing Minispiel,ja,mittel,storyfortschritt,ja,einmalig,ja,nein,mittel,konstant,nein,"geschicklichkeit, timing",ja,ja,ja,ja,nein
Mario & Luigi Superstar Saga,"Action, RPG",Sternmustache Smash,nein,stark,storyfortschritt,ja,einmalig,ja,nein,mittel,konstant,nein,"strategie, geschicklichkeit",nein,ja,ja,ja,nein
Marvel Spider Man,Action,Leitungsprojekte,einmalig,stark,"XP, Verkäufliche/eintauschbare Items",ja,häufig,ja,nein,mittel,kontext_schwieriger,nein,"logik, strategie, geschicklichkeit",ja,ja,ja,nein,ja
Marvel Spider Man,Action,Spektrograph,einmalig,stark,"XP, Verkäufliche/eintauschbare Items",ja,häufig,ja,nein,mittel,kontext_schwieriger,nein,logik,ja,ja,ja,nein,ja
Mass Effect 1,"Rollenspiel, Action, Sci-Fi",Bypass,ja,stark,"spielwährung, ressourcen",ja,häufig,nein,nein,gering,konstant,nein,"logik, timing",nein,ja,nein,ja,nein
Mass Effect 1,"Rollenspiel, Action, Sci-Fi",Override,ja,mittel,"spielwährung, ressourcen, storyfortschritt",ja,häufig,ja,nein,gering,minispiel_situativ,nein,timing,nein,ja,nein,nein,nein
Mass Effect 1,"Rollenspiel, Action, Sci-Fi",Pressure Puzzle,nein,keine,storyfortschritt,nein,einmalig,nein,ja,mittel,konstant,nein,logik,nein,nein,ja,nein,nein
Mass Effect 1,"Rollenspiel, Action, Sci-Fi",Cure Puzzle,nein,mittel,storyfortschritt,nein,einmalig,nein,ja,mittel,konstant,nein,logik,nein,nein,ja,nein,nein
Mass Effect 2,"Rollenspiel, Action, Sci-Fi",Bypass,ja,stark,"spielwährung, ressourcen",ja,häufig,nein,nein,gering,konstant,nein,logik,ja,ja,ja,ja,nein
Mass Effect 2,"Rollenspiel, Action, Sci-Fi",Planet Scan,ja,stark,ressourcen,ja,häufig,nein,ja,gering,konstant,ja,keine,ja,ja,ja,nein,nein
Metal Gear Solid 3,"Action, Action-Abenteuer",Guy Savage,einmalig,stark,keine,nein,einmalig,nein,nein,gering,konstant,nein,keine,ja,ja,ja,ja,nein
Minecraft,"Sandbox, Survival",Angeln,ja,keine,Verkäufliche/eintauschbare Items,ja,frei,ja,ja,gering,kontext_leichter,nein,timing,ja,nein,nein,nein,nein
Nier Automata,"Hack and Slash, Rollenspiel",Hacking,nein,stark,gameplay-effekt,ja,häufig,nein,ja,gering,konstant,nein,geschicklichkeit,nein,ja,nein,nein,nein
Nier Automata,"Hack and Slash, Rollenspiel",Shoot Em Up,nein,stark,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,geschicklichkeit,nein,ja,nein,nein,nein
Palia,Simulation,Angeln,ja,leicht,"ressourcen, Verkäufliche/eintauschbare Items",ja,frei,nein,nein,gering,konstant,nein,"geschicklichkeit, timing",ja,ja,nein,nein,nein
Palia,Simulation,Kochen,einmalig,mittel,ressourcen,ja,frei,ja,nein,gering,minispiel_schwieriger,nein,"geschicklichkeit, timing",ja,ja,nein,ja,nein
Paper Mario,RPG,Jump attack,ja,leicht,spielwährung,ja,einmalig,ja,nein,gering,konstant,ja,glück,ja,ja,ja,nein,nein
Paper Mario,RPG,Smash Attack,ja,mittel,spielwährung,ja,einmalig,ja,nein,mittel,konstant,ja,"mashing, logik",ja,ja,ja,ja,nein
